🔫｜浙江,#genre#
CCTV7,http://111.199.45.222:5555/rtp/239.3.1.61:8104
CCTV8,http://111.199.45.222:5555/rtp/239.3.1.175:8001
CCTV9,http://111.199.45.222:5555/rtp/239.3.1.62:8112
CETV1,http://111.199.45.222:5555/rtp/239.3.1.57:8152
西班牙语,http://111.199.45.222:5555/rtp/239.3.1.217:4220
阿拉伯语,http://111.199.45.222:5555/rtp/239.3.1.219:4220
CCTV1,http://183.144.201.58:6868/udp/233.50.200.130:5140
CCTV1,http://183.144.201.58:6868/udp/233.50.200.130:5140
CCTV1,http://183.144.201.58:6868/udp/233.50.200.247:5140
CCTV1,http://183.144.201.58:6868/udp/233.50.201.118:5140
CCTV1,http://183.144.201.58:6868/udp/233.50.201.118:5140
CCTV1,http://183.144.201.58:6868/udp/233.50.201.222:5140
CCTV1,http://183.144.201.58:6868/udp/233.50.201.222:5140
CCTV1,http://183.144.201.58:6868/udp/233.50.201.226:5140
CCTV10,http://183.144.201.58:6868/udp/233.50.201.122:5140
CCTV10,http://183.144.201.58:6868/udp/233.50.201.122:5140
CCTV12,http://183.144.201.58:6868/udp/233.50.201.123:5140
CCTV12,http://183.144.201.58:6868/udp/233.50.201.123:5140
CCTV13,http://183.144.201.58:6868/udp/233.50.201.246:5140
CCTV13,http://183.144.201.58:6868/udp/233.50.201.246:5140
CCTV14,http://183.144.201.58:6868/udp/233.50.200.20:5140
CCTV14,http://183.144.201.58:6868/udp/233.50.200.20:5140
CCTV14,http://183.144.201.58:6868/udp/233.50.201.124:5140
CCTV14,http://183.144.201.58:6868/udp/233.50.201.124:5140
CCTV16,http://183.144.201.58:6868/udp/233.50.200.112:5140
CCTV16,http://183.144.201.58:6868/udp/233.50.201.192:5140
CCTV16,http://183.144.201.58:6868/udp/233.50.201.192:5140
CCTV2,http://183.144.201.58:6868/udp/233.50.200.25:5140
CCTV2,http://183.144.201.58:6868/udp/233.50.200.25:5140
CCTV2,http://183.144.201.58:6868/udp/233.50.201.119:5140
CCTV2,http://183.144.201.58:6868/udp/233.50.201.119:5140
CCTV3,http://183.144.201.58:6868/udp/233.50.201.196:5140
CCTV3,http://183.144.201.58:6868/udp/233.50.201.196:5140
CCTV5,http://183.144.201.58:6868/udp/233.50.201.197:5140
CCTV5,http://183.144.201.58:6868/udp/233.50.201.197:5140
CCTV5,http://183.144.201.58:6868/udp/233.50.201.220:5140
CCTV5,http://183.144.201.58:6868/udp/233.50.201.220:5140
CCTV6,http://183.144.201.58:6868/udp/233.50.201.198:5140
CCTV6,http://183.144.201.58:6868/udp/233.50.201.198:5140
CCTV7,http://183.144.201.58:6868/udp/233.50.200.24:5140
CCTV7,http://183.144.201.58:6868/udp/233.50.200.24:5140
CCTV7,http://183.144.201.58:6868/udp/233.50.201.120:5140
CCTV7,http://183.144.201.58:6868/udp/233.50.201.120:5140
CCTV8,http://183.144.201.58:6868/udp/233.50.201.199:5140
CCTV8,http://183.144.201.58:6868/udp/233.50.201.199:5140
CCTV9,http://183.144.201.58:6868/udp/233.50.201.121:5140
CCTV9,http://183.144.201.58:6868/udp/233.50.201.121:5140
CCTV1,http://113.87.248.154:4000/udp/239.77.0.129:5146
